Source, Target
46769096,15808765
56373048,19608297
56373048,66602794
25519008,43165749
25519008,95263467
4739088137,2595934822
4739088137,2836421
4460723607,15808765
25392494,1330457336
703109621662101504,115979444
703109621662101504,1339835893
195095595,109328493
329144572,216776631
23593890,20733972
23593890,11134252
24408224,3366877630
2284504770,25073877
2284504770,11134252
2284504770,11866582
2284504770,46775436
1396262887,1330457336
4458621,11640472
4458621,16253142
743087502475546625,51241574
743087502475546625,31464192
184780576,20957491
184780576,4658196589
184780576,4795751938
742729015895658496,25073877
4807257981,807095
4807257981,409486555
2361357000,25073877
2361357000,1367531
75164211,216776631
100285548,216776631
100285548,115979444
846829170,10228272
14182297,1330457336
180266393,1330457336
180266393,1339835893
19431026,1330457336
297352182,970207298
81895098,31611298
81895098,2836421
72160645,216776631
93288759,1339835893
93288759,172858784
93288759,1339835893
93288759,172858784
14778794,15808765
23249152,735546958488576000
23249152,40924038
23249152,22952132
24891727,16589206
24891727,1339835893
477174486,733860272260055040
477174486,155082887
477174486,751281974
108667631,2865775333
388454082,1339835893
783419696,25073877
19540094,15808765
113466949,1339835893
985507718,1339835893
31479090,3550873998
31479090,3283739089
31479090,707568137286381568
31479090,3990209429
31479090,3250914614
31479090,121885345
31479090,121885345
31479090,367554477
621347520,31013444
7573442,11347122
15636927,1330457336
86359331,98696100
872181900,499073990
38032906,23497233
269546693,19479705
269546693,7334402
4923949431,16151138
4923949431,97474887
18440306,22799750
18440306,33310366
75077990,7309052
75077990,44988185
75077990,25073877
75077990,759251
15818403,1093090866
22810543,15837524
244315975,33525761
584848952,1707321486
584848952,42889581
31479090,894355597
31479090,1693782354
31479090,25701904
31479090,4010449719
31479090,717994058111655936
31479090,250397073
31479090,19915842
31479090,2727612785
31479090,86734122
129637929,79224066
28981188,216776631
30083269,759251
348529712,14377605
1869598704,2359926157
1869598704,25073877
4822750516,14529929
4822750516,172858784
408741796,230035576
75320258,208179565
2469705044,813286
2469705044,759251
59212679,1330457336
432857195,8370082
432857195,1339835893
865661286,15675138
865661286,2836421
3158068198,89820928
3158068198,1339835893
3158068198,2836421
3158068198,759251
3158068198,1367531
97452920,73238146
97452920,702147673651027968
97452920,75069067
1018560540,1093090866
840552829,1330457336
47759106,15808765
369570999,124763921
369570999,2922928743
4470633014,813286
4470633014,939091
4470633014,15007149
4470633014,1093090866
4470633014,30313925
4470633014,1536791610
442283784,553020017
442283784,4114871654
